Point 0: True class: 0, Predicted class: 0. Correct.
Point 1648: True class: 1, Predicted class: 1. Correct.
Point 1649: True class: 7, Predicted class: 7. Correct.
Point 1650: True class: 5, Predicted class: 5. Correct.
Point 1651: True class: 4, Predicted class: 4. Correct.
Point 1652: True class: 4, Predicted class: 4. Correct.
Point 1653: True class: 7, Predicted class: 7. Correct.
Point 1654: True class: 2, Predicted class: 2. Correct.
Point 1655: True class: 2, Predicted class: 2. Correct.
Point 1656: True class: 5, Predicted class: 5. Correct.
Point 1657: True class: 7, Predicted class: 7. Correct.
Point 1658: True class: 9, Predicted class: 3. Incorrect.
Point 1659: True class: 5, Predicted class: 5. Correct.
Point 1660: True class: 4, Predicted class: 4. Correct.
Point 1661: True class: 4, Predicted class: 4. Correct.
Point 1662: True class: 9, Predicted class: 5. Incorrect.
Point 1663: True class: 0, Predicted class: 0. Correct.
Point 1664: True class: 8, Predicted class: 8. Correct.
Point 1665: True class: 9, Predicted class: 9. Correct.
Point 1666: True class: 8, Predicted class: 8. Correct.
Point 1667: True class: 0, Predicted class: 0. Correct.
Point 1668: True class: 1, Predicted class: 1. Correct.
Point 1669: True class: 2, Predicted class: 2. Correct.
Point 1670: True class: 3, Predicted class: 3. Correct.
Point 1671: True class: 4, Predicted class: 4. Correct.
Point 1672: True class: 5, Predicted class: 5. Correct.
Point 1673: True class: 6, Predicted class: 6. Correct.
Point 1674: True class: 7, Predicted class: 7. Correct.
Point 1675: True class: 8, Predicted class: 8. Correct.
Point 1676: True class: 9, Predicted class: 9. Correct.
Point 1677: True class: 0, Predicted class: 0. Correct.
Point 1678: True class: 1, Predicted class: 1. Correct.
Point 1679: True class: 2, Predicted class: 2. Correct.
Point 1680: True class: 3, Predicted class: 3. Correct.
Point 1681: True class: 4, Predicted class: 4. Correct.
Point 1682: True class: 5, Predicted class: 5. Correct.
Point 1683: True class: 6, Predicted class: 6. Correct.
Point 1684: True class: 7, Predicted class: 7. Correct.
Point 1685: True class: 8, Predicted class: 8. Correct.
Point 1686: True class: 9, Predicted class: 9. Correct.
Point 1687: True class: 0, Predicted class: 0. Correct.
Point 1688: True class: 1, Predicted class: 1. Correct.
Point 1689: True class: 2, Predicted class: 2. Correct.
Point 1690: True class: 3, Predicted class: 3. Correct.
Point 1691: True class: 4, Predicted class: 4. Correct.
Point 1692: True class: 5, Predicted class: 5. Correct.
Point 1693: True class: 6, Predicted class: 6. Correct.
Point 1694: True class: 7, Predicted class: 7. Correct.
Point 1695: True class: 8, Predicted class: 8. Correct.
Point 1696: True class: 9, Predicted class: 9. Correct.
Point 1697: True class: 0, Predicted class: 0. Correct.
Point 1698: True class: 9, Predicted class: 9. Correct.
Point 1699: True class: 5, Predicted class: 5. Correct.
Point 1700: True class: 5, Predicted class: 5. Correct.
Point 1701: True class: 6, Predicted class: 6. Correct.
Point 1702: True class: 5, Predicted class: 5. Correct.
Point 1703: True class: 0, Predicted class: 0. Correct.
Point 1704: True class: 9, Predicted class: 9. Correct.
Point 1705: True class: 8, Predicted class: 8. Correct.
Point 1706: True class: 9, Predicted class: 9. Correct.
Point 1707: True class: 8, Predicted class: 8. Correct.
Point 1708: True class: 4, Predicted class: 4. Correct.
Point 1709: True class: 1, Predicted class: 1. Correct.
Point 1710: True class: 7, Predicted class: 7. Correct.
Point 1711: True class: 7, Predicted class: 7. Correct.
Point 1712: True class: 3, Predicted class: 3. Correct.
Point 1713: True class: 5, Predicted class: 5. Correct.
Point 1714: True class: 1, Predicted class: 1. Correct.
Point 1715: True class: 0, Predicted class: 0. Correct.
Point 1716: True class: 0, Predicted class: 0. Correct.
Point 1717: True class: 2, Predicted class: 2. Correct.
Point 1718: True class: 2, Predicted class: 2. Correct.
Point 1719: True class: 7, Predicted class: 7. Correct.
Point 1720: True class: 8, Predicted class: 8. Correct.
Point 1721: True class: 2, Predicted class: 2. Correct.
Point 1722: True class: 0, Predicted class: 0. Correct.
Point 1723: True class: 1, Predicted class: 1. Correct.
Point 1724: True class: 2, Predicted class: 2. Correct.
Point 1725: True class: 6, Predicted class: 6. Correct.
Point 1726: True class: 3, Predicted class: 3. Correct.
Point 1727: True class: 3, Predicted class: 8. Incorrect.
Point 1728: True class: 7, Predicted class: 7. Correct.
Point 1729: True class: 3, Predicted class: 1. Incorrect.
Point 1730: True class: 3, Predicted class: 3. Correct.
Point 1731: True class: 4, Predicted class: 4. Correct.
Point 1732: True class: 6, Predicted class: 6. Correct.
Point 1733: True class: 6, Predicted class: 6. Correct.
Point 1734: True class: 6, Predicted class: 6. Correct.
Point 1735: True class: 4, Predicted class: 4. Correct.
Point 1736: True class: 9, Predicted class: 9. Correct.
Point 1737: True class: 1, Predicted class: 1. Correct.
Point 1738: True class: 5, Predicted class: 5. Correct.
Point 1739: True class: 0, Predicted class: 0. Correct.
Point 1740: True class: 9, Predicted class: 9. Correct.
Point 1741: True class: 5, Predicted class: 5. Correct.
Point 1742: True class: 2, Predicted class: 2. Correct.
Point 1743: True class: 8, Predicted class: 8. Correct.
Point 1744: True class: 2, Predicted class: 2. Correct.
Point 1745: True class: 0, Predicted class: 0. Correct.
Point 1746: True class: 0, Predicted class: 0. Correct.
Point 1747: True class: 1, Predicted class: 1. Correct.
Point 1748: True class: 7, Predicted class: 7. Correct.
Point 1749: True class: 6, Predicted class: 6. Correct.
Point 1750: True class: 3, Predicted class: 3. Correct.
Point 1751: True class: 2, Predicted class: 2. Correct.
Point 1752: True class: 1, Predicted class: 1. Correct.
Point 1753: True class: 7, Predicted class: 7. Correct.
Point 1754: True class: 4, Predicted class: 4. Correct.
Point 1755: True class: 6, Predicted class: 6. Correct.
Point 1756: True class: 3, Predicted class: 3. Correct.
Point 1757: True class: 1, Predicted class: 1. Correct.
Point 1758: True class: 3, Predicted class: 3. Correct.
Point 1759: True class: 9, Predicted class: 9. Correct.
Point 1760: True class: 1, Predicted class: 1. Correct.
Point 1761: True class: 7, Predicted class: 7. Correct.
Point 1762: True class: 6, Predicted class: 6. Correct.
Point 1763: True class: 8, Predicted class: 8. Correct.
Point 1764: True class: 4, Predicted class: 4. Correct.
Point 1765: True class: 3, Predicted class: 5. Incorrect.
Point 1766: True class: 1, Predicted class: 1. Correct.
Point 1767: True class: 4, Predicted class: 4. Correct.
Point 1768: True class: 0, Predicted class: 0. Correct.
Point 1769: True class: 5, Predicted class: 5. Correct.
Point 1770: True class: 3, Predicted class: 3. Correct.
Point 1771: True class: 6, Predicted class: 6. Correct.
Point 1772: True class: 9, Predicted class: 9. Correct.
Point 1773: True class: 6, Predicted class: 6. Correct.
Point 1774: True class: 1, Predicted class: 1. Correct.
Point 1775: True class: 7, Predicted class: 7. Correct.
Point 1776: True class: 5, Predicted class: 5. Correct.
Point 1777: True class: 4, Predicted class: 4. Correct.
Point 1778: True class: 4, Predicted class: 4. Correct.
Point 1779: True class: 7, Predicted class: 7. Correct.
Point 1780: True class: 2, Predicted class: 2. Correct.
Point 1781: True class: 8, Predicted class: 8. Correct.
Point 1782: True class: 2, Predicted class: 2. Correct.
Point 1783: True class: 2, Predicted class: 2. Correct.
Point 1784: True class: 5, Predicted class: 5. Correct.
Point 1785: True class: 7, Predicted class: 7. Correct.
Point 1786: True class: 9, Predicted class: 9. Correct.
Point 1787: True class: 5, Predicted class: 5. Correct.
Point 1788: True class: 4, Predicted class: 4. Correct.
Point 1789: True class: 8, Predicted class: 8. Correct.
Point 1790: True class: 8, Predicted class: 1. Incorrect.
Point 1791: True class: 4, Predicted class: 4. Correct.
Point 1792: True class: 9, Predicted class: 9. Correct.
Point 1793: True class: 0, Predicted class: 0. Correct.
Point 1794: True class: 8, Predicted class: 1. Incorrect.
Point 1795: True class: 9, Predicted class: 9. Correct.
Point 1796: True class: 8, Predicted class: 8. Correct.
The accuracy of the KNN algorithm with k=6 is 98.16%.
